Username,Champion,Results,Game_Length,Game_Type,Champ_lvl,Kills,Deaths,Assists
stein gate,Ezreal,Defeat,12m 11s,URF,9,5,11,3
stein gate,Ezreal,Victory,18m 33s,URF,17,14,6,11
stein gate,Blitzcrank,Defeat,18m 43s,URF,14,0,8,7
stein gate,Ezreal,Victory,22m 47s,URF,19,16,6,13
stein gate,Ezreal,Defeat,21m 47s,URF,19,12,19,9
stein gate,Ezreal,Victory,12m 28s,URF,11,18,4,3
stein gate,Ezreal,Victory,21m 57s,URF,19,16,12,19
stein gate,Ezreal,Victory,18m 42s,URF,17,23,10,9
stein gate,Veigar,Victory,21m 30s,URF,21,8,9,7
stein gate,LeBlanc,Victory,11m 14s,URF,10,6,5,13
stein gate,Ezreal,Defeat,15m 40s,URF,13,19,8,7
stein gate,Ezreal,Defeat,20m 30s,URF,17,9,11,3
stein gate,Ezreal,Defeat,14m 28s,URF,14,7,5,3
stein gate,LeBlanc,Victory,24m 10s,URF,21,14,9,8
stein gate,Veigar,Defeat,21m 57s,URF,19,16,13,9
stein gate,Morgana,Victory,19m 59s,URF,16,6,6,14
stein gate,Malphite,Victory,12m 49s,URF,11,6,6,3
stein gate,Kha'Zix,Victory,13m 38s,URF,12,8,11,8
stein gate,Ezreal,Victory,14m 58s,URF,15,24,7,12
stein gate,Ezreal,Victory,21m 11s,URF,18,20,13,13
stein gate,LeBlanc,Defeat,19m 0s,URF,18,23,10,8
stein gate,Ezreal,Defeat,15m 24s,URF,13,7,14,9
stein gate,Ezreal,Defeat,17m 37s,URF,16,20,12,6
stein gate,Ezreal,Victory,15m 30s,URF,14,19,5,9
stein gate,Bard,Defeat,19m 13s,URF,17,8,12,8
stein gate,LeBlanc,Victory,20m 27s,URF,18,20,8,9
stein gate,LeBlanc,Victory,15m 42s,URF,12,11,3,6
stein gate,LeBlanc,Defeat,23m 18s,URF,20,10,12,23
stein gate,Ezreal,Defeat,18m 15s,URF,17,14,12,11
stein gate,Ezreal,Victory,19m 7s,URF,15,9,6,9
stein gate,LeBlanc,Victory,26m 11s,URF,22,10,13,12
stein gate,Ezreal,Victory,17m 11s,URF,15,18,5,9
