Username,Champion,Results,Game_Length,Game_Type,Champ_lvl,Kills,Deaths,Assists
takumochi,Morgana,Victory,17m 30s,ARAM,16,5,5,24
takumochi,Lux,Defeat,19m 13s,URF,18,9,7,13
takumochi,Morgana,Victory,20m 27s,URF,17,8,8,24
takumochi,Lux,Victory,15m 42s,URF,14,6,2,12
takumochi,Syndra,Defeat,23m 18s,URF,21,13,14,24
takumochi,Orianna,Victory,26m 11s,URF,24,10,4,22
takumochi,Lux,Victory,17m 11s,URF,16,10,3,17
takumochi,Zilean,Defeat,24m 33s,Clash,13,3,4,10
takumochi,Ahri,Defeat,32m 47s,Clash,16,6,6,11
takumochi,Ziggs,Defeat,37m 10s,Clash,18,12,5,4
takumochi,Ziggs,Victory,32m 19s,Clash,16,5,2,15
takumochi,Ahri,Defeat,20m 42s,Clash,12,2,2,0
takumochi,Kayle,Defeat,27m 3s,ARAM,18,12,12,30
takumochi,Annie,Victory,16m 7s,ARAM,15,9,8,22
takumochi,Cassiopeia,Defeat,20m 15s,ARAM,18,16,11,33
takumochi,Gragas,Victory,17m 56s,ARAM,16,1,7,21
takumochi,Ahri,Victory,10m 48s,ARAM,12,4,3,11
takumochi,Jinx,Victory,18m 29s,ARAM,16,9,7,18
takumochi,Malzahar,Defeat,15m 8s,ARAM,15,10,9,25
takumochi,Lux,Victory,25m 19s,Ranked Solo,14,6,2,7
takumochi,Sivir,Defeat,44m 56s,Flex 5:5 Rank,18,8,5,15
takumochi,Lux,Victory,20m 31s,ARAM,18,9,6,38
takumochi,Karma,Victory,19m 42s,ARAM,18,8,4,32
takumochi,Heimerdinger,Victory,26m 25s,ARAM,18,9,12,34
takumochi,Vel'Koz,Victory,24m 32s,ARAM,18,15,8,30
takumochi,Taric,Defeat,21m 43s,ARAM,18,3,7,24
takumochi,Tristana,Defeat,23m 24s,ARAM,18,7,8,26
takumochi,Rakan,Defeat,22m 24s,ARAM,18,3,6,38
takumochi,Yuumi,Victory,20m 16s,ARAM,18,4,8,37
takumochi,Sivir,Defeat,26m 58s,ARAM,18,23,13,32
takumochi,Lux,Defeat,16m 6s,ARAM,15,8,5,10
takumochi,Neeko,Victory,14m 16s,ARAM,15,9,6,20
takumochi,Zoe,Defeat,27m 40s,Normal,13,0,6,11
takumochi,Taric,Victory,16m 23s,Normal,9,3,0,13
takumochi,Neeko,Victory,23m 31s,Normal,13,5,2,11
takumochi,Viktor,Victory,30m 29s,Normal,17,12,6,14
takumochi,Morgana,Victory,29m 22s,Normal,16,7,3,15
takumochi,Lux,Victory,24m 44s,Normal,12,1,6,25
takumochi,Corki,Victory,27m 57s,Normal,16,16,6,17
takumochi,Lillia,Victory,17m 49s,ARAM,17,11,6,22
takumochi,Lux,Victory,29m 25s,Ranked Solo,16,10,4,16
takumochi,Lux,Defeat,22m 57s,Ranked Solo,12,3,4,4
takumochi,Taric,Victory,27m 11s,ARAM,18,6,8,46
takumochi,Viktor,Victory,21m 15s,ARAM,18,6,8,26
takumochi,Miss Fortune,Defeat,18m 15s,ARAM,16,3,10,18
takumochi,Lissandra,Defeat,17m 54s,ARAM,16,10,10,15
takumochi,Sona,Defeat,27m 13s,Normal,14,2,5,24
takumochi,Lux,Victory,23m 6s,Normal,12,3,3,18
takumochi,Lux,Victory,26m 39s,Normal,16,12,4,12
takumochi,Lux,Victory,27m 18s,Normal,12,6,7,23
takumochi,Lux,Defeat,36m 40s,Normal,17,7,7,13
takumochi,Lux,Defeat,33m 44s,Normal,13,5,7,13
takumochi,Nami,Defeat,24m 56s,Normal,10,0,2,2
takumochi,Lux,Defeat,30m 2s,Normal,14,6,7,8
takumochi,Diana,Victory,15m 36s,ARAM,15,12,9,14
takumochi,Tristana,Defeat,26m 8s,One for All,18,11,7,11
takumochi,Lux,Victory,33m 36s,Normal,15,15,7,23
takumochi,Nami,Defeat,29m 10s,Normal,14,4,3,24
